Timestamp,Total Customers,Total Visitors,Queue Count,Shelf Count,Current Customers,Current Visitor,Shelf 1,Shelf 2,Shelf 3,Shelf 4
2024-12-01 22:51:31,1,-1,0,0,0,0,0,0,0,0
2024-12-01 22:51:41,1,-1,0,0,0,0,0,0,0,0
2024-12-01 22:51:51,1,-1,0,0,0,0,0,0,0,0
2024-12-01 22:52:02,1,-1,0,0,0,0,0,0,0,0
2024-12-01 22:52:12,1,0,0,1,0,1,1,0,0,0
2024-12-01 22:52:22,1,0,0,1,0,1,1,0,0,0
2024-12-01 22:52:33,1,0,0,0,0,1,0,1,0,0
2024-12-01 22:52:43,1,0,0,0,0,1,0,1,0,0
2024-12-01 22:52:53,1,0,0,0,0,1,0,1,0,0
2024-12-01 22:53:03,1,0,0,0,0,1,0,1,0,0
2024-12-01 22:53:14,1,0,0,0,0,1,0,1,0,0
2024-12-01 22:53:24,1,0,0,0,0,0,0,0,0,0
2024-12-01 22:53:34,1,0,0,0,0,1,0,0,1,0
2024-12-01 22:53:44,2,-1,0,0,0,1,0,0,1,0
2024-12-01 22:53:55,2,-1,0,0,0,1,0,0,0,1
2024-12-01 22:54:05,3,-1,1,0,1,1,0,1,0,0
2024-12-01 22:54:15,3,0,0,1,0,2,1,0,1,0
2024-12-01 22:54:26,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:54:36,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:54:46,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:54:57,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:55:07,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:55:17,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:55:27,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:55:38,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:55:48,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:55:58,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:56:08,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:56:18,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:56:29,3,0,0,0,0,1,0,0,1,0
